term1,term2,how_similar_are_the_two_combinations,how_similar_are_the_two_combinations.variance
two treaties,three treaties,4.75,2.165
two teams,three teams,3.5,2.062
two bicycles,two ferries,2.75,1.299
two teams,this committee,2.75,1.479
two cyclones,three leagues,1.75,1.299
those tables,this table,3.25,2.278
two boats,four vans,1.5,0.866
that hospital,all hospitals,4,1.871
that hospital,that household,1.5,0.866
these dates,this boat,1.75,1.299
these developers,every developer,3.25,1.92
four tribes,that club,1.25,0.433
these allocations,those profits,1.25,0.433
three offices,four departments,1.75,0.829
three ceremonies,this ceremony,3.25,1.479
this club,all clubs,5.75,0.829
those pounds,those bottles,1.25,0.433
these tables,every table,4.25,1.92
these cities,that city,5.25,0.433
these cars,this bill,2,1.225
four villas,these villas,3.5,1.803
three restaurants,those hotels,1.5,0.866
those funds,those cats,1.25,0.433
these mortgages,that gain,1.5,0.866
three photographers,these musicians,1,0
two dates,those dates,2.5,1.5
all families,every household,2.75,1.92
these credits,that profit,3,2
three goats,that cow,1.75,1.299
all licences,all masses,2,1.225
two assignments,these assignments,4.25,2.165
that town,that village,3.75,1.92
two restaurants,those pubs,2.75,1.785
four towns,this town,2.25,1.639
these boroughs,those states,1,0
two bombers,two helicopters,3.25,1.785
all musicians,all photographers,3.25,1.479
those credits,those gains,2.75,1.785
all towns,every borough,1.75,1.299
three farmers,these manufacturers,1,0
these chairs,that length,1,0
three committees,four countries,2.25,1.299
all phones,all makers,3.25,2.278
these trucks,all trucks,3.5,2.598
two countries,those countries,3.5,2.5
two villages,this village,4,1.225
these dogs,those rabbits,1.25,0.433
three libraries,four eagles,1.25,0.433
two cats,three cats,6.25,0.433
that investment,every interest,1,0
two developers,three developers,3.25,1.785
that epoch,that moment,3.5,1.658
those households,this house,1.75,1.299
three architects,those architects,6.5,0.5
two cruisers,two ships,4.25,2.165
these boroughs,these counties,2.25,2.165
three days,four platoons,1,0
four capitals,four beds,1.5,0.866
those farmers,all manufacturers,1,0
three boats,three frigates,2.75,1.785
this acceptance,every obligation,1.75,1.299
four golds,four families,1.75,1.299
three beds,these beds,5.5,0.866
three cars,these cars,4.25,2.385
four offices,that office,4.25,2.385
these boroughs,these lengths,1.25,0.433
two bombs,three bombs,5.75,1.09
three fighters,four boroughs,1.5,0.866
all balls,all dances,1,0
those hotels,this hotel,3.5,2.062
those checks,that bill,2.5,1.5
two dances,three tribes,1.75,1.299
four cities,that city,4,1.871
every agency,every company,3,1.581
these periods,these guns,1.75,1.299
two blasts,two elephants,2.25,2.165
those agencies,this agency,5.25,0.829
these periods,every moment,2,1.225
these profits,this interest,2.75,1.785
these leagues,that occasion,1,0
every office,every boat,2.5,1.5
every cow,every licence,1,0
those laws,this law,4.25,2.165
those cars,that obligation,1.5,0.5
three boroughs,four offices,1,0
three opinions,these opinions,5.75,1.299
four castles,four cottages,3.25,2.278
these shares,every obligation,1.5,0.866
four airplanes,four cars,1,0
three committees,this tribe,1.75,1.299
these desires,those passions,2.25,1.639
those horses,those rats,1.5,0.866
that house,every house,4.75,2.278
that cup,all bottles,1.25,0.433
three clubs,this club,5.25,1.299
all motorcycles,all guns,1,0
three bombers,four bombers,5,0.707
these lengths,all lengths,3,1.581
two tables,those tables,5.25,1.92
three offices,those households,2,1.225
two beds,two sofas,3.5,1.803
three guns,four bombs,2,1.225
all bonds,every bond,3,1.225
every borough,every dance,1,0
two departments,three moments,1,0
these tribes,this tribe,5.25,0.829
these nations,those nations,3.5,1.5
these designers,those architects,2.5,1.5
three cats,that horse,1,0
these phones,all phones,5.25,0.829
these fears,this bottle,1.75,1.299
two trucks,three pickups,2.25,1.299
these hospitals,these dogs,1.25,0.433
those manufacturers,this manufacturer,4.5,2.062
two developers,two laws,3.75,1.479
three parties,that party,3.5,2.062
two boroughs,two missiles,2.25,1.639
four households,that household,4.5,1.658
those rings,this coat,1,0
two households,that office,2.25,1.299
four bottles,that bottle,3.4,1.855
two pubs,two offices,1.75,0.829
these conventions,all laws,2.25,2.165
all capitals,all artists,1,0
those villages,that licence,1,0
those rings,every corner,1,0
these licences,those hotels,1,0
these weights,this weight,3.25,2.278
two musicians,that artist,2.25,1.09
this pain,that bond,1.25,0.433
three periods,four periods,2,1
those checks,all checks,3.5,2.5
every city,every state,3,1.225
these swords,that sword,6,0.707
two guns,two missiles,3.75,2.773
three kingdoms,three pigs,1.25,0.433
all nations,every bomb,1,0
three parties,that ceremony,2,1.225
those restaurants,that restaurant,5,1
three manufacturers,three bulls,1,0
three companies,three nations,2.75,1.09
four dollars,four pennies,3.75,1.639
these restaurants,these laws,1.75,1.299
two chairs,three goats,1.75,1.299
four artists,four rockets,3.25,0.829
this income,that taxation,1,0
those states,all states,3.75,1.785
those corners,that corner,4,2.55
those dogs,that dog,3.5,1.658
two parties,four parties,5,0.707
this occasion,that cloud,1,0
these cheques,that cheque,5,0.707
four hospitals,four libraries,2.5,2.062
this borough,this city,2.25,1.299
all bonds,all obligations,3.25,2.278
three phones,three rings,2.25,1.639
these treaties,this castle,1.25,0.433
this company,this team,3.75,1.785
three dates,those dates,6,0
three spoons,four occasions,2.25,1.299
those conventions,that treaty,2,1.225
these tables,those extensions,1.5,0.866
two interests,two nations,2.5,1.5
that licence,all assignments,2.25,1.299
these checks,this check,4.5,2.062
those trucks,that draft,1,0
these fears,these bottles,1.25,0.433
three phones,four phones,4,2.121
those mortgages,those masses,2.5,1.658
all funds,every fund,2,1.732
those committees,this committee,4,1.871
these cottages,that period,1.25,0.433
three forks,three pickups,1.5,0.5
these laws,these opinions,2.5,2.062
this team,all nations,2,1.225
three ships,these buses,2,1.732
two funds,three opinions,1.25,0.433
all pubs,all offices,3.5,1.118
three missiles,four missiles,3.5,1.803
every bill,every licence,1,0
those makers,those musicians,4,1.414
those assignments,that assignment,6,0.707
these trains,that aircraft,1.25,0.433
three phones,four credits,2,1.225
three cups,three forks,1.75,1.299
three manufacturers,four manufacturers,3,1.871
two cars,four hospitals,1,0
two drafts,this draft,3.5,1.118
these suburbs,that village,1,0
this investment,all profits,3.75,1.639
that committee,that department,1.5,0.5
two bombers,three villages,1.25,0.433
three leagues,four tribes,2,1
this boat,all buses,1.25,0.433
every celebration,every wedding,2.75,1.785
those towns,this hospital,1,0
two cups,four tornadoes,1.75,1.299
four restaurants,this hotel,1.5,0.5
three committees,three trucks,1.75,0.829
two buses,three cars,2.5,1.118
four chairs,four balls,2.25,2.165
three conventions,three treaties,2.5,1.658
this celebration,every celebration,5.25,1.09
these vans,this car,2,1.225
these licences,this bond,3.5,1.5
these days,this day,4,1.871
two makers,three makers,4.5,2.062
these beds,this bed,3.25,2.278
four jets,four vans,2.25,1.299
these drafts,that draft,3.25,0.829
these ceremonies,that ceremony,4.25,1.299
those cars,this share,1.75,0.829
two extensions,three golds,1,0
two lengths,four chairs,2.25,1.09
those rabbits,every rabbit,2,1.732
two funds,four cylinders,1.5,0.5
these clubs,these households,3,1.871
all states,every state,5,2.121
these dances,those nations,1,0
those buses,that train,1,0
three houses,those houses,4.25,1.479
that horse,every cat,1,0
two pubs,three shares,2,1
four constitutions,those laws,2.75,2.046
this town,that committee,2,1.225
those musicians,those photographers,2,1
two buses,three hotels,1.5,0.866
that obligation,every law,1.25,0.433
this horse,that horse,3.75,1.639
every happiness,every love,2.75,2.046
all manufacturers,every library,2,1.732
that fear,that table,1.5,0.866
these kingdoms,all boroughs,3.25,1.92
all producers,every farmer,2,1.225
four drafts,this draft,4,1.414
four cows,those dogs,2,1
these clubs,those households,3,1.581
three hospitals,three nations,1.75,0.829
those possessions,every possession,5.5,0.866
two ambulances,two buses,3.25,1.785
three buses,these boats,2,1.732
these committees,these bottles,2.5,2.062
those treaties,every draft,1.25,0.433
four days,these dates,2,1.225
three artists,three dates,3.5,2.291
three tables,three boats,1.75,1.299
all counties,every county,2.75,1.479
every office,every cylinder,1.25,0.433
these hospitals,these leagues,1.5,0.866
three cottages,three libraries,1.5,0.866
two goats,that dog,1.5,0.866
that income,every gain,1,0
those horses,all horses,4.5,2.062
two funds,two cottages,3.75,2.046
three photographers,three frigates,1.25,0.433
three cruisers,four cruisers,3.5,2.5
four offices,these offices,5,1
three boroughs,that state,1,0
those designers,this assignment,1.5,0.866
four motorcycles,four ships,3.5,2.179
three cows,these cats,2,1
that chair,that bottle,1,0
two fighters,these fighters,6,0.707
that cloud,every cloud,4,2.236
four states,these villages,1.75,1.299
those counties,every borough,1.25,0.433
this table,that table,3.5,1.803
that country,all countries,3,1.225
four hospitals,that hospital,5,1.732
those offices,this committee,1.5,0.5
this venture,that venture,4.75,2.278
four periods,this period,3.75,1.92
all cottages,every castle,3,1
four companies,this company,3.25,1.299
three committees,that committee,5,2.345
two libraries,three cents,1,0
two cats,four goats,1.5,0.5
those offices,that convention,1.5,0.866
four nations,those teams,1.5,0.866
that wind,that check,2,1.225
three kingdoms,these lands,2,1.225
these makers,every designer,2.25,1.299
these beds,that chair,1.25,0.433
three cottages,three conventions,1,0
two ventures,two shares,2.5,1.658
two missiles,those missiles,4.5,2.062
all weights,every check,1.75,1.299
four restaurants,those restaurants,4.75,1.299
two buses,two vans,2.75,1.09
that cheque,all treaties,1,0
that bond,all bonds,4.75,2.278
two masses,this length,2,1.225
those trains,that train,4.25,0.829
this statute,all bills,1.5,0.866
four occasions,this occasion,4.25,1.92
three cents,three pounds,1.5,0.866
these cottages,these hospitals,2.5,1.118
four nations,those nations,6,0.707
these licences,that coat,1.75,1.299
four rings,those rings,5.5,1.118
two jets,those buses,1,0
two cyclones,three cottages,1,0
this team,all nations,1.25,0.433
two bicycles,three ferries,1.25,0.433
these dances,those families,1,0
three architects,three makers,3,1.871
those masses,this mass,3.75,1.639
that shirt,every shirt,6.25,0.433
all boroughs,every borough,3.5,2.179
this ceremony,every wedding,4.75,2.278
three ships,four artists,1,0
this table,that period,1,0
that fear,every fear,5.5,0.866
that allocation,all funds,2.5,1.5
four leagues,this league,4.25,2.046
three boats,three trains,2.25,1.639
those lands,this kingdom,2.5,1.658
two cats,four cats,6,0.707
all cities,every shirt,1.25,0.433
four departments,those departments,3.25,1.479
four departments,four platoons,1.75,0.829
these manufacturers,this restaurant,1.75,0.433
these shirts,this shirt,5.25,0.829
two laws,three licences,1.25,0.433
three extensions,three ships,3.25,2.278
this horse,that cow,1.25,0.433
those rats,this cat,1.25,0.433
these trains,that boat,1,0
that kingdom,that state,3.25,1.479
these masses,this mass,2.75,1.785
three shirts,that coat,1.75,0.829
those automobiles,those buses,1.75,1.299
all capitals,every capital,5.25,1.92
two bonds,three licences,2.5,1.5
four dances,four families,1.5,0.5
two dances,two nations,1.75,0.829
these laws,this statute,2.25,1.09
these bills,these balls,2,1.225
two axes,four axes,5,1.581
four bombers,four cruisers,2.5,1.5
these laws,every licence,1,0
two dates,three dates,4.75,0.829
three sofas,those tables,1,0
three moments,four designers,2.75,2.487
three guns,those missiles,1,0
four cyclones,four ducks,2.25,0.829
two producers,four producers,4.25,2.046
this dog,all dogs,3.25,1.639
two cents,four extensions,1.25,0.433
this dress,that dress,5.25,1.299
all makers,every maker,6.5,0.5
three periods,four periods,4.25,1.92
three cyclones,three beds,1,0
two ambulances,four airplanes,1,0
three kingdoms,three departments,2.75,1.785
four dances,that dance,4.5,1.5
this convention,this decree,3.25,1.92
two bills,three bills,4.5,2.062
two extensions,four extensions,4.5,0.5
all families,every ceremony,1.75,0.829
four opinions,that opinion,4.25,2.385
this guitar,that guitar,5.5,0.5
two villas,three cottages,1,0
two frigates,this ship,1,0
four shares,four agencies,1.25,0.433
those tribes,every tribe,2,1.732
this village,every land,1.75,1.299
three boats,this boat,4.5,2.062
these assignments,that assignment,4.75,0.829
these agencies,that agency,5,1.871
these guns,all guns,3.75,2.165
these hotels,those hotels,5,1.414
those moments,every moment,5.25,1.479
this moment,all moments,5.5,0.5
four cows,four horses,1.25,0.433
three companies,these companies,4.5,2.062
those temperatures,those periods,2.5,1.118
these obligations,this law,2,1.732
those profits,all investments,2.25,2.165
these boroughs,every village,2,1.732
these checks,those checks,4.75,2.165
three bombers,three ships,2.5,1.118
three cars,three pickups,1.5,0.866
that bed,that company,1,0
this hotel,this extension,1.75,1.299
three artists,four manufacturers,1.25,0.433
these cities,this restaurant,1.25,0.433
three counties,three towns,2.75,1.785
this corner,that corner,4.25,2.046
these troops,all troops,3.5,2.062
those ships,that artist,2.25,1.299
all agencies,every agency,3.75,2.773
that county,that kingdom,3.25,2.278
that statute,all statutes,5.5,0.5
these boroughs,that city,1.75,1.299
three committees,four trucks,1.5,0.866
this sensitivity,that sensitivity,2.75,1.785
three departments,this club,1,0
two offices,these offices,4.25,2.165
this library,this town,2,1.732
four extensions,that mass,2,1.732
all boats,every boat,5.75,1.09
three painters,three diameters,3,1.225
two pickups,these cars,2.5,1.118
these laws,this statute,2,1
this length,that income,2,1.225
two battleships,three tankers,2.25,1.639
three conventions,three treaties,1.25,0.433
all checks,every check,2.5,2.062
two periods,that future,2,1.225
these weights,these ships,1.25,0.433
